Kapitelüberschriften;Nummerierung;H-003;H-005;H-021;H-016;H-001;H-015;H-012;H-006;H-007;dis H-003 H-005;dis H-003 H-021;dis H-003 H-016;dis H-003 H-001;dis H-003 H-015;dis H-003 H-012;dis H-003 H-006;dis H-003 H-007;dis H-005 H-021;dis H-005 H-016;dis H-005 H-001;dis H-005 H-015;dis H-005 H-012;dis H-005 H-006;dis H-005 H-007;dis H-021 H-016;dis H-021 H-001;dis H-021 H-015;dis H-021 H-012;dis H-021 H-006;dis H-021 H-007;dis H-016 H-001;dis H-016 H-015;dis H-016 H-012;dis H-016 H-006;dis H-016 H-007;dis H-001 H-015;dis H-001 H-012;dis H-001 H-006;dis H-001 H-007;dis H-015 H-012;dis H-015 H-006;dis H-015 H-007;dis H-012 H-006;dis H-012 H-007;dis H-006 H-007
;301;w ant groʒ iſt die gnade din;Wan grôz ſi iſt dev genade din‧;wente gꝛot ʒint de gnade din~;Groß iſt die gnade din;Wan gros iſt die guade dyn;wan groʒ iſt die genade dein.;wā grot ſyn de gnade dyn;;;0.35;0.31;0.25;0.18;0.14;0.36;1;1;0.42;0.42;0.35;0.29;0.42;1;1;0.41;0.38;0.38;0.34;1;1;0.27;0.25;0.38;1;1;0.18;0.31;1;1;0.36;1;1;1;1;1
;302;Ich lobe dich want ich minen man;Ich lob dich wand ich minē man‧;ik ſoue di wente ik mynen man~;daʒ ich hie erfūden han;Ich lobe dich wan ich mynen man;I ch lob dich wan ich meinen man.;Ik loue dik wāik mynē man;;;0.16;0.38;0.66;0.06;0.12;0.44;1;1;0.52;0.68;0.19;0.19;0.45;1;1;0.7;0.39;0.5;0.33;1;1;0.65;0.66;0.72;1;1;0.12;0.39;1;1;0.5;1;1;1;1;1
;303;G eſehen mit mit minen angen han;Geſehen mit minen ovgē han‧;ʒe myt mynen ogen an~;Geſehn̄ mit meÿnē augn̄ an;geſehen mit mynen augen han;geſehen mit meinen ougen han.;de ſe myt mynē oghen an;;;0.31;0.53;0.44;0.22;0.22;0.56;1;1;0.48;0.44;0.22;0.18;0.56;1;1;0.62;0.41;0.43;0.35;1;1;0.33;0.32;0.5;1;1;0.11;0.44;1;1;0.46;1;1;1;1;1
;304;d rade ſi ein ein gegen ginch;Drat ſi im engegen gienc‧;dꝛade ʒe em en yegen ginck~;;drate ſye ym engegen ging;D rate ſi im engegen giench.;Drade ſe enteghen ghinck;;;0.31;0.34;1;0.38;0.21;0.38;1;1;0.41;1;0.28;0.11;0.44;1;1;1;0.37;0.41;0.37;1;1;1;1;1;1;1;0.26;0.4;1;1;0.41;1;1;1;1;1
;305;F roliche ſie in vmme finch;vrolich ſi in vmbe vienc‧;vꝛolicken ʒe ene vme vinck~;;frolich ſye yn vnne ving;vroleich ſi in vmbe viench.;vroliken ſe ene vme vinck;;;0.3;0.48;1;0.33;0.3;0.41;1;1;0.44;1;0.36;0.08;0.36;1;1;1;0.52;0.48;0.15;1;1;1;1;1;1;1;0.38;0.44;1;1;0.38;1;1;1;1;1
;306;Si ſprach wuͦlletume liber wirt;Si ſprach willechomē lieber wirt‧;ſe ſpꝛak leue wylle camen weit~;Sie ſprach lieber wirt bis wilkōmē;dis volleknn liber wirt;S i ſprach willechvm lieber wiert;Se ſprack wille komē leuer wert;;;0.24;0.68;0.59;0.48;0.27;0.35;1;1;0.7;0.59;0.52;0.15;0.24;1;1;0.68;0.77;0.7;0.58;1;1;0.68;0.59;0.62;1;1;0.52;0.58;1;1;0.3;1;1;1;1;1
;307;;alles mines leids ein ende wirt‧;almynes heuls en ende weꝛt~;mein leyd daʒ hat ein end ge nomē;alles myns leydes nu ende wirt;alles meines laides nv ende wirt;A mynes leydeden ende wert;;;1;1;1;1;1;1;1;1;0.38;0.73;0.25;0.22;0.34;1;1;0.7;0.47;0.5;0.3;1;1;0.73;0.73;0.64;1;1;0.19;0.3;1;1;0.38;1;1;1;1;1
;308;A lleʒ min truͦren hat ein ende;allez min trovren hat ein ende‧;alle myn tꝛuꝛent hat enen ende~;alle mÿn trurē hat eȳ ende;als myn truren hat ein ende;A ls mein troven hat ein ende.;he mȳ trurēt hat en ende;;;0.16;0.32;0.26;0.19;0.23;0.35;1;1;0.32;0.29;0.23;0.19;0.39;1;1;0.32;0.26;0.35;0.39;1;1;0.26;0.34;0.27;1;1;0.17;0.3;1;1;0.41;1;1;1;1;1
;309;W ant ich dich von dem enlende;Wand ich dich von dem ellende‧;wente ik dy van deme elende~;wan ich dich vō dē elende;wan ich dich von dem enelende;want ich dich von dem elende;Sint ikde vā deme elende;;;0.13;0.4;0.23;0.1;0.07;0.43;1;1;0.4;0.23;0.13;0.1;0.47;1;1;0.5;0.41;0.36;0.29;1;1;0.21;0.18;0.52;1;1;0.1;0.45;1;1;0.39;1;1;1;1;1
;310;E nphangen han liber herre;Enphangen han lieber herre‧;vnde ent fangen han dy leueꝛ heꝛe~;Enphangn̄ han mein lieb͛ he͛re;bnphangen han vil liber herre;E nphangen han vil lieber herre.;vntfangē han vil leuer hē;;;0.11;0.47;0.4;0.21;0.16;0.58;1;1;0.5;0.37;0.24;0.19;0.56;1;1;0.62;0.53;0.47;0.47;1;1;0.33;0.29;0.53;1;1;0.1;0.38;1;1;0.39;1;1;1;1;1
;311;M ir iſt leit dine groʒʒe ſwere;Mir iſt lait din groze ſwêre‧;my is leid dine grote ſweꝛe~;mir iſt leit deÿn groſ ſwere;mir iſt leit din groſſe ſwere;mir iſt lait dein groʒʒe ſwære;Der iſt leyt dyn grote ſwe͛;;;0.23;0.32;0.23;0.13;0.16;0.32;1;1;0.38;0.24;0.17;0.17;0.31;1;1;0.43;0.34;0.43;0.43;1;1;0.14;0.2;0.32;1;1;0.17;0.28;1;1;0.37;1;1;1;1;1
;312;Duͦ ioachim ſine frauwen geſach;Do ioachim ſin vrowen ſach‧;do heꝛ yoachim ʒine vꝛouwen ſach~;;do yoachim ſyne frauwen ſach;D o ioachym ſein frawen ſach.;Do ioachim ſynevrowē ſach;;;0.29;0.39;1;0.19;0.26;0.35;1;1;0.3;1;0.25;0.21;0.19;1;1;1;0.3;0.42;0.39;1;1;1;1;1;1;1;0.25;0.25;1;1;0.32;1;1;1;1;1
;313;Mit groʒʒen frauden er ʒuͦ ir ſprah;Mit grozen vrevde er zv ir ſprach‧;myt gꝛoteꝛ vꝛonden he to eꝛ ſpꝛak~;mit groſſen frewdn̄ er zu ir ſprach;mit groſſen freuden er do ſprach;mit groʒʒen frevden er ʒv ir ſp̃ch.;myt grotē vroydē he to er ſprak;;;0.31;0.54;0.26;0.29;0.17;0.49;1;1;0.53;0.23;0.32;0.24;0.44;1;1;0.57;0.53;0.56;0.29;1;1;0.23;0.26;0.49;1;1;0.29;0.56;1;1;0.53;1;1;1;1;1
;314;;;;nu iſt leit hein vnd vngemach;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;315;N uͦ lobe ich got von himelrich;nv lob ich got von himelrich;ſin loue ick god van hemmel ꝛik~;nu lob ich got vō himel reich;du lobe ich got von hymelrich;n v lob ich dich got von himelreich;Nu loue ik god vā hēmekick;;;0.13;0.44;0.23;0.13;0.23;0.39;1;1;0.44;0.17;0.14;0.2;0.43;1;1;0.47;0.41;0.51;0.41;1;1;0.24;0.29;0.41;1;1;0.29;0.38;1;1;0.51;1;1;1;1;1
;316;D aʒ ich libe frauwe dich;Daʒ ich lieber vrowe dich.;Dat ik leue vꝛouwe dick~;Daʒ ich vil liebe frawe dich;wan ach lbe frauwe dich;daʒ ich liebe frawe dich.;Dat ek leue vrowe dik;;;0.24;0.44;0.25;0.2;0.12;0.48;1;1;0.4;0.25;0.36;0.12;0.36;1;1;0.54;0.5;0.46;0.21;1;1;0.36;0.14;0.5;1;1;0.25;0.52;1;1;0.42;1;1;1;1;1
;317;G eſunt vn̄ lebendich fuͦnden han;Geſvnt vn̄ lebendic fvnden han.;ʒund vnde leuendich ge vunden han~;Geſunt vnd lebēde fundn̄ han;geſunt vnde lebendig gefinden han;G eſunt vnd lebentig fvnden han.;Ghe ſunt vn̄ leuede vunden han;;;0.15;0.41;0.3;0.27;0.18;0.27;1;1;0.41;0.3;0.21;0.16;0.3;1;1;0.5;0.32;0.44;0.44;1;1;0.3;0.29;0.27;1;1;0.18;0.36;1;1;0.32;1;1;1;1;1
;318;d aʒ macht mich aller ſoꝛgē an;Daz macht mich aller ſoꝛgē an‧;Dat maket my alleꝛ ʒoꝛgen an~;daʒ macht mich aller ſorgn̄ an;das machet mich aller ſergen an;daʒ machet mich aller ſorgen an.;Dat maket mek allert ſoꝛghe an;;;0.1;0.4;0.13;0.23;0.16;0.33;1;1;0.37;0.17;0.23;0.19;0.33;1;1;0.4;0.35;0.32;0.27;1;1;0.16;0.1;0.33;1;1;0.06;0.35;1;1;0.32;1;1;1;1;1
;319;N n weiʒ ich wol ich muͦʒ geſchehen;Nv waiz ich wol ez mvͦz geſchehē‧;an wene ik wol it mot ſcen~;nu weiſ ich wol es muſ geſchee;nu wers ich wol es muß geſche;n v iʒ ich wol eʒ mvͦʒ geſchehen.;Nu wert ik wolit mont gheſchen;;;0.31;0.49;0.29;0.34;0.2;0.43;1;1;0.55;0.3;0.33;0.24;0.48;1;1;0.5;0.52;0.56;0.37;1;1;0.13;0.31;0.4;1;1;0.38;0.37;1;1;0.5;1;1;1;1;1
;320;V n̄ gelaubet daʒ daʒ ſal er gen;Vn̄ gelovbe daz ez ſol ergen‧;vnde loue it ſcolle vullen gen~;vnd glaub daʒ er ſol erge;vnde geleube das daʒ ſulle erge;vnd geloube daʒ eʒ ſol ergen.;vn̄ loue datik et ſcholde erghen;;;0.34;0.66;0.34;0.34;0.25;0.59;1;1;0.68;0.31;0.42;0.17;0.44;1;1;0.65;0.61;0.61;0.56;1;1;0.35;0.18;0.44;1;1;0.29;0.56;1;1;0.41;1;1;1;1;1
;321;A lleʒ daʒ der engel mir;Allez daz der engel mir‧;allen dat de engghel my~;alles das der engel mir;alles das der engel mir;A lles daʒ der engel mir.;Al dat der engel mir;;;0.17;0.33;0.12;0.12;0.04;0.21;1;1;0.33;0.12;0.12;0.17;0.21;1;1;0.29;0.29;0.33;0.33;1;1;0;0.08;0.17;1;1;0.08;0.17;1;1;0.21;1;1;1;1;1
;322;h at geſaget voꝛ von dir;Hat geſagt verre von dir‧;han ge ſaget vꝛouwe van dy~;hat ge ſaget nu vō dir;hat geſayt frauwe von dir;hat geſagt vor von dir.;hat ghe ſeghet vrowe vā dir;;;0.28;0.37;0.29;0.36;0.12;0.37;1;1;0.41;0.4;0.28;0.16;0.41;1;1;0.37;0.37;0.37;0.37;1;1;0.4;0.32;0.33;1;1;0.28;0.41;1;1;0.37;1;1;1;1;1
;323;ʒ uͦ dem tempel ſi beẏde gingen;zv dem tempel ſi beidev giengē‧;to deme temppel ʒe beide gingen~;zu dē tempel ſie do gingn̄;nden tempel ſye beide gingen;ʒ vͦ dem tempel beidev giengen.;zo dem tēpele ſe beyde geugen;;;0.29;0.31;0.35;0.29;0.23;0.35;1;1;0.34;0.35;0.32;0.26;0.35;1;1;0.44;0.28;0.38;0.34;1;1;0.43;0.47;0.52;1;1;0.4;0.38;1;1;0.47;1;1;1;1;1
;324;V n̄ den ſen da enphiengen;Den ſegen ſi do enphiengen‧;vnde de ʒeghe nynge daꝛ en ſingen~;den ſegn̄ ſie do enphingn̄;vnde den ſegen da emphingen;vnd den ſegen da enphiengen.;vn̄ den ſeghen al dar vntfengen;;;0.37;0.53;0.46;0.26;0.15;0.39;1;1;0.53;0.22;0.44;0.33;0.45;1;1;0.53;0.38;0.41;0.44;1;1;0.48;0.48;0.58;1;1;0.11;0.39;1;1;0.32;1;1;1;1;1
;325;d ar nach fuͦren ſie hin heim;Dar nach ſvren ſi hin heim‧;daꝛ na voꝛen ʒe do hemm~;dor noch ſie heim woltn̄ varn;dar nach furen ſye hin heym;D ar nach fvͦrn ſi hin haim.;Daꝛ na vorē ſehin hemn;;;0.21;0.52;0.69;0.14;0.14;0.45;1;1;0.48;0.62;0.22;0.22;0.41;1;1;0.76;0.48;0.59;0.38;1;1;0.66;0.66;0.69;1;1;0.3;0.41;1;1;0.44;1;1;1;1;1
;326;F rauwe anna vn̄ auch ioachim;vrow anna vn̄ ovch ioachîm‧;vꝛouwe anna vnde heꝛ yochim~;vnd des lenger nicht v͛barn;frauwe aine vnde her yoachim;fraw anne vnd her ioachym.;vrowe āna vn̄ her ioachim;;;0.31;0.45;0.83;0.34;0.34;0.34;1;1;0.46;0.85;0.54;0.37;0.33;1;1;0.82;0.29;0.43;0.36;1;1;0.82;0.85;0.81;1;1;0.21;0.32;1;1;0.32;1;1;1;1;1
;327;D o ſie furen vf ſtraʒʒen;Do ſi fvͤren vf der ſtrazen‧;do ʒe voꝛen vppe deꝛ ſtꝛaten~;Do ſie furen vff der ſtraſſen;da ſie firen vff der ſtraſſe;D a ſi fuͦrn ouf der ſtraʒʒe.;do ſe vorē vpder ſtraten;;;0.39;0.59;0.28;0.39;0.39;0.48;1;1;0.41;0.24;0.32;0.39;0.32;1;1;0.45;0.52;0.62;0.34;1;1;0.1;0.34;0.34;1;1;0.32;0.43;1;1;0.5;1;1;1;1;1
;328;d o in mochten ſie nicht gelaʒʒen;Do mohten ſi niht gelazen;do en mochten ʒe des lucht laten~;do mochtn̄ ſie nicht geloſſen;ſye en mochten des nicht gelaſſe;do machten ſi des nicht gelaʒʒen.;do mochten ſe des nicht ghelatē;;;0.27;0.42;0.27;0.3;0.24;0.39;1;1;0.52;0.28;0.44;0.28;0.35;1;1;0.55;0.42;0.39;0.36;1;1;0.41;0.28;0.39;1;1;0.41;0.41;1;1;0.22;1;1;1;1;1
;329;I r iet wederʒ ten deme andern kint;Ir ietwederz tet dem andern chvnt‧;eꝛeꝛ en dede dem andeꝛen cund~;Jr encʒ det den and͛n̄ kunt;Jr igliches tet dem ander kunt;I r iͤꝛʒleich tet dem andern chvnt;Er ein dede dem ander kuſt;;;0.26;0.57;0.51;0.4;0.37;0.46;1;1;0.56;0.53;0.38;0.29;0.47;1;1;0.53;0.63;0.59;0.37;1;1;0.4;0.5;0.41;1;1;0.35;0.4;1;1;0.5;1;1;1;1;1
;330;Wie ſie deʒ heilgen engels muͦnt;Wie ſi des heiligē engels mvnt‧;wo dat ʒe des engels mund~;wie des engels mūt;wie das ſye des engels mvnt;wie daʒ ſi des engels wort.;we dat ſedes engels mūt;;;0.25;0.5;0.5;0.44;0.44;0.47;1;1;0.52;0.45;0.39;0.48;0.48;1;1;0.42;0.3;0.38;0.27;1;1;0.37;0.38;0.3;1;1;0.22;0.22;1;1;0.27;1;1;1;1;1
;331;h ette getroſt daʒ ſie gewinnen;Hêt getroͤſt daz ſi gewinnen‧;hadde tꝛoſtet dat wynen~;Sie hat getroſt daʒ ſie gewūne;hatte getroſt daʒ ſye gewynne;h ette getroſtet daʒ ſi gewinnen.;hadde ghe troſt dat ſeghe wynē;;;0.26;0.61;0.29;0.16;0.09;0.48;1;1;0.62;0.4;0.34;0.28;0.57;1;1;0.67;0.55;0.5;0.5;1;1;0.3;0.38;0.53;1;1;0.25;0.37;1;1;0.53;1;1;1;1;1
;332;S olden ein kint von reiner minne;Solten ein kint von rein͛ minnē‧;ſcolden eyn cynd myt ꝛeyneꝛ mynen~;Ein kint vō reinē kūne;alden ein kint von reyner mynne;ſolten ein chint von reiner minne.;scholden eȳ kint van remer mynē;;;0.18;0.44;0.45;0.15;0.15;0.3;1;1;0.53;0.47;0.28;0.21;0.38;1;1;0.68;0.41;0.44;0.5;1;1;0.45;0.48;0.58;1;1;0.21;0.35;1;1;0.42;1;1;1;1;1
;333;V n̄ daʒ kint ein tochter wuͦrde;Vn̄ daz kint ein toht͛͛͛͛͛ wrde‧;vnde dat cynd en dochteꝛ woꝛde~;Ein kint daʒ ſolt ein tocht͛ werdn̄;vnde das kint ein tochter wurde;V nd daʒ daʒ chint ein tochter wurde.;vn̄ dat dat kint eȳ dechter worde;;;0.34;0.44;0.43;0.16;0.22;0.36;1;1;0.53;0.54;0.34;0.47;0.52;1;1;0.57;0.32;0.42;0.36;1;1;0.46;0.44;0.54;1;1;0.22;0.3;1;1;0.31;1;1;1;1;1
;334;D aʒ kunnen ſolde von er geburte;Daz chæm von ir gebvrde‧;Dat camen ſcolde van eꝛeꝛ boꝛte~;daʒ do quem vō ir vff erdn̄;das kinen ſolde von ir geburde;daʒ choͤmen ſolt von iͤr geburde.;Dat komē ſcholde vā erer gheburde;;;0.56;0.47;0.69;0.19;0.34;0.45;1;1;0.66;0.59;0.47;0.41;0.58;1;1;0.78;0.47;0.56;0.48;1;1;0.67;0.62;0.67;1;1;0.28;0.39;1;1;0.48;1;1;1;1;1
;335;V n̄ maria daʒ ſelbe kint ſulde heiʒʒe;Vn̄ daz Maꝛia daz ſelbe kīt ſol heizē‧;vnde maꝛik dat cynd ſcolde hetten~;daʒ ſolte heiſſn̄ ma͛ia;vnde das daʒ kint mana heiſſen;V nd daʒ maria daʒ chint ſolt haiʒʒen.;vn̄ dat kynt ſcholde maie hetē;;;0.39;0.58;0.74;0.55;0.45;0.66;1;1;0.61;0.76;0.66;0.5;0.61;1;1;0.85;0.53;0.51;0.53;1;1;0.83;0.76;0.77;1;1;0.49;0.7;1;1;0.68;1;1;1;1;1
;336;w ant daʒ dir hat geheiʒʒen;Wand ez der engel hat geheizen‧;wente dat de engel hadde hetten~;wan es der engel gebot alda;ſolde als der engel hatte geheiſſen;want der engel hat daʒ gebaiʒʒen.;wan dat hadde de engelghe hetē;;;0.48;0.59;0.7;0.51;0.44;0.63;1;1;0.44;0.45;0.34;0.41;0.61;1;1;0.59;0.46;0.56;0.53;1;1;0.6;0.56;0.6;1;1;0.46;0.63;1;1;0.72;1;1;1;1;1
;337;V n̄ auch daʒ ſelbe ſal werden;Vn̄ ovch daz ſelbe ſol werden‧;vnde ock dat ſulue cind ſchal weꝛde~;Daʒ ſelbe kint auch ſolte werdn̄;vnde auch das kint ſelde werden;V nd ouch daʒ chint ſol werden.;vn̄ ok dat ſuke kynt ſte werdē;;;0.2;0.5;0.72;0.39;0.27;0.57;1;1;0.5;0.66;0.45;0.33;0.53;1;1;0.67;0.5;0.5;0.42;1;1;0.62;0.69;0.66;1;1;0.29;0.58;1;1;0.57;1;1;1;1;1
;338;k uͦnigennen vf alder erden;kvneginne vf aller der erden‧;conynynne vppe alleꝛ eꝛden~;konigen Jn himel vff erdn̄;konigyn vff aller erden;chvniginne ouf der erden.;kōnigīne vp aller erdē;;;0.38;0.56;0.56;0.33;0.37;0.37;1;1;0.52;0.55;0.38;0.41;0.41;1;1;0.7;0.41;0.56;0.48;1;1;0.54;0.65;0.58;1;1;0.46;0.3;1;1;0.54;1;1;1;1;1
;339;V n̄ daʒ von dem ſelben kinde;v daz von dem ſelben kinde‧;vnde dat van deme ſuluen cynde~;vō dē ſelbn̄ kinden;vnde das von dem ſellen kinde;V nd daʒ von dem ſelben chinde.;vn̄ vā dat vā deme ſuluē kynde;;;0.17;0.35;0.55;0.17;0.1;0.43;1;1;0.35;0.5;0.21;0.23;0.5;1;1;0.68;0.26;0.32;0.32;1;1;0.59;0.6;0.7;1;1;0.2;0.43;1;1;0.5;1;1;1;1;1
;340;A lleʒ iſraheich geſinde;allez iſraheliſch geſinde‧;alle yſaꝛhelſche ge ʒinde~;alles iſraheliſch ge ſinde;alles yfraheliſches geſynde;alles yfrahelſch geſinde.;Alkt iſrahelliſche ghe ſinde;;;0.19;0.42;0.19;0.33;0.25;0.36;1;1;0.35;0.12;0.26;0.19;0.29;1;1;0.31;0.37;0.31;0.36;1;1;0.22;0.15;0.21;1;1;0.15;0.36;1;1;0.36;1;1;1;1;1
;341;E r loſt wurde vnde alle di Iude;Erloſt wrde vn̄ alle die levte‧;voꝛ loſet weꝛt vnde alle de lude~;Erloͤſet ſoltē werden vnd alle lute;Ebſt wirt vnde alle die lute;E rloſet wirt vnd alle die levte.;Ir leſet wert vn̄ alde lute;;;0.34;0.33;0.51;0.34;0.34;0.47;1;1;0.45;0.51;0.35;0.22;0.45;1;1;0.6;0.36;0.36;0.36;1;1;0.57;0.51;0.43;1;1;0.25;0.46;1;1;0.38;1;1;1;1;1
;342;d i da lebent vf der erden noch huͦde;Daz do lebt vf der erde noch hevte‧;de vppe deꝛ eꝛden leuen hude~;dÿe do lebn̄ vff erdn̄ hutte;die da leben vff erden hute;die lebēt ouf der erde hevte.;Deꝛ vpder erdē leuē hute;;;0.27;0.59;0.46;0.38;0.46;0.57;1;1;0.66;0.46;0.46;0.4;0.54;1;1;0.69;0.62;0.69;0.41;1;1;0.25;0.57;0.68;1;1;0.5;0.63;1;1;0.64;1;1;1;1;1
;343;d er engel hatte auch daʒ geſaget;Der engel het ovch daz geſagt‧;de engel hat ock dat ge ſaget~;Der engel hat auch geſaget;der engel hetauch das geſayt;D er engel hat ouch daʒ geſait.;De engel hat ok dat ghe ſaghet;;;0.27;0.3;0.21;0.24;0.15;0.36;1;1;0.27;0.3;0.2;0.2;0.37;1;1;0.33;0.33;0.3;0.13;1;1;0.29;0.27;0.33;1;1;0.2;0.4;1;1;0.37;1;1;1;1;1
;344;D aʒ daʒ kint ſulde bliben maget;Daz daz kint ſolt beliben magt‧;Dat dat cynd ſcal bluen naghet~;daʒ es ſolte bleibn̄ eÿne reÿne maget;Daʒ das kint ſal bliben mayt;daʒ daʒ chint ſol beleiben mait.;Dat dat kyt nāmer ſtal dadē maghet;;;0.28;0.47;0.61;0.22;0.31;0.56;1;1;0.48;0.66;0.23;0.26;0.59;1;1;0.71;0.42;0.52;0.44;1;1;0.63;0.63;0.68;1;1;0.23;0.56;1;1;0.65;1;1;1;1;1
;345;V n̄ ſulde doch einen ſuͦn gewinnen;vn̄ ſolt doch einen ſvn gewinnen‧;vnde ſcal doch eynen ʒone wynnen~;vnd doch ſolte tragen ein kint;vnde ſal doch eynen ſin gewynne;V nd ſol doch ein ſvn gewinnen.;vn̄ ſcal doch eynē ſone wȳnē;;;0.2;0.46;0.66;0.31;0.23;0.49;1;1;0.39;0.64;0.27;0.18;0.45;1;1;0.67;0.24;0.42;0.3;1;1;0.65;0.67;0.7;1;1;0.29;0.39;1;1;0.47;1;1;1;1;1
;346;A ne man von godes minne;Ane man von gotes minne‧;ane man van gades mynnen~;des die reich alle ſint;En man von gotes mynne;ane man von gotes minne.;Ane man vā goddes mȳnē;;;0.12;0.24;0.79;0.21;0.08;0.29;1;1;0.24;0.79;0.17;0.04;0.33;1;1;0.84;0.28;0.24;0.36;1;1;0.78;0.78;0.83;1;1;0.13;0.41;1;1;0.3;1;1;1;1;1
;347;Mit diſer rede quamen heim;Mit diſer rede chomen heim‧;myt deſſen ꝛeden qwem ʒe heim~;mit diſer rede quamē ſie hin;mit diſer rede quamen ſye en heym;M it diſer rede chomen ſi haim.;mit duſſer rede quamē ſe heyn;;;0.15;0.4;0.25;0.24;0.27;0.28;1;1;0.43;0.39;0.36;0.2;0.41;1;1;0.47;0.52;0.53;0.4;1;1;0.27;0.3;0.17;1;1;0.33;0.27;1;1;0.4;1;1;1;1;1
;348;F an anna vn̄ auch her ioachim;Vrow āne vn̄ ovch her ioachîm‧;vꝛouwe anna vnde heꝛ yochim~;Anna vnd her ioachim;frauwe aine vnde yoachim;fraw anne h vnd her ioachym.;vrowe āna vn̄ her ioachim;;;0.37;0.53;0.37;0.53;0.37;0.4;1;1;0.57;0.5;0.6;0.4;0.3;1;1;0.43;0.39;0.5;0.36;1;1;0.54;0.33;0.32;1;1;0.37;0.44;1;1;0.37;1;1;1;1;1
1.6 Annas Schwangerschaft;349;Die ʒit geſtuͦnt nicht langer;DEv zeit geſtvͤnd niht lang͛‧;Myt en en ſtund id nicht lengeꝛ~;Je ʒeit ſtund nicht langer;Dye ʒit ſstunt nicht lenger;Dev ʒeit ſtuͦnt nicht langer.;It en ſtūt nicht lāger;;;0.34;0.53;0.24;0.21;0.17;0.41;1;1;0.59;0.34;0.48;0.31;0.59;1;1;0.44;0.44;0.5;0.47;1;1;0.22;0.14;0.38;1;1;0.21;0.41;1;1;0.39;1;1;1;1;1
;350;vrauwe anna wart des ſwanger;vrow anna wart des ſwāg͛‧;vꝛouwe anna waꝛ myt maꝛien ſwangen;Anna die wart ſwanger;frauwe aine wart do ſwanger;fraw anne wart chindes ſwang͛.;vrowe āna wart mariē ſwāter;;;0.25;0.35;0.46;0.18;0.34;0.43;1;1;0.47;0.64;0.44;0.34;0.41;1;1;0.59;0.47;0.53;0.44;1;1;0.37;0.59;0.63;1;1;0.38;0.52;1;1;0.59;1;1;1;1;1
;351;d u alſo lange daʒ heilge wip;Do alſo lange daz heilige wib‧;ʒo lange dat dat hilge wyg~;doch nicht zu lange daʒ heilge wip;als lange das daʒ heylige wip;d o alſo lange daʒ heilig weip.;Do alo lange dat heilighe wiſ;;;0.2;0.55;0.32;0.41;0.13;0.24;1;1;0.5;0.41;0.43;0.2;0.17;1;1;0.59;0.38;0.57;0.52;1;1;0.53;0.41;0.41;1;1;0.43;0.41;1;1;0.23;1;1;1;1;1
;352;G etragen hatte des kindes lip;Getragen het̂ des kindes lip‧;ge dꝛagen hadde des cvndes lice~;Getragn̄ hatt des kindes liep;getragen hat des kindes lip;getragen hete des chindes leip.;Ghetraghen had des kyndes kiſ;;;0.17;0.34;0.17;0.1;0.2;0.27;1;1;0.38;0.21;0.1;0.17;0.31;1;1;0.38;0.34;0.38;0.41;1;1;0.14;0.27;0.34;1;1;0.17;0.21;1;1;0.37;1;1;1;1;1
;353;D aʒ ime got eine ſele geben;Daz im got ein ſêl geben‧;Dat em got ene ſele gheuen ſcolde~;daʒ ÿm got ein ſele gebn̄;das ym got ſolden geben;D aʒ im got ein ſele geben.;Dat ome god eyne ʒele gheuē;;;0.25;0.44;0.21;0.43;0.07;0.36;1;1;0.47;0.24;0.4;0.19;0.48;1;1;0.44;0.56;0.44;0.44;1;1;0.44;0.15;0.41;1;1;0.38;0.59;1;1;0.44;1;1;1;1;1
;354;S ulde da von ſich hub ſin leben;Solt‧ da von ſich hveb ſin leben‧;daꝛ off hauen ſinen louent~;wolte do vō ſich hube ſin lebn̄;ſolde da von hube ſich ſyn leben;wolde da von hueb ſich ſein leben.;Scholde Dar vē hume ſit ſin leuē;;;0.21;0.75;0.31;0.38;0.36;0.5;1;1;0.7;0.3;0.39;0.39;0.58;1;1;0.74;0.69;0.64;0.75;1;1;0.5;0.45;0.56;1;1;0.15;0.41;1;1;0.42;1;1;1;1;1
;355;d uͦ machte got von himelrich;Do macht got von himelrich‧;do makede got van hemmel ꝛik~;Do macht got vō himel rich;do macht got von hymelrich;D o machte got von himelreich.;Do makede god vā homekrik;;;0.17;0.45;0.24;0.17;0.1;0.45;1;1;0.41;0.15;0.07;0.14;0.44;1;1;0.38;0.38;0.38;0.31;1;1;0.15;0.21;0.42;1;1;0.14;0.42;1;1;0.41;1;1;1;1;1
;356;E in heilge ſele tavgenleich;Ein heiligev ſæ̂l tugentlich‧;eyne hilge ʒele gaꝛ to gent lick~;Ein ſele vil tegētlich;ſyne heylige ſele tugentlich;ein heilige ſele tougenleich.;Sin ʒele heylich vn̄ do ghentlik;;;0.38;0.48;0.43;0.36;0.14;0.69;1;1;0.55;0.41;0.31;0.28;0.66;1;1;0.58;0.42;0.45;0.58;1;1;0.46;0.43;0.62;1;1;0.25;0.56;1;1;0.62;1;1;1;1;1
